transfer_id,event_ts_utc,site_id,workflow,record_count,duration_seconds,status,retry_count,validation_error_count
T-00090,2026-06-05T18:00:00+00:00,SITE-06,EHR_TO_EDC,1660,118,success,0,0
T-00091,2026-06-06T08:00:00+00:00,SITE-01,EHR_TO_EDC,4494,278,success,0,12
T-00092,2026-06-06T13:00:00+00:00,SITE-01,EHR_TO_EDC,714,30,success,0,15
T-00093,2026-06-06T18:00:00+00:00,SITE-01,EHR_TO_EDC,4177,275,success,0,2
T-00094,2026-06-06T08:00:00+00:00,SITE-02,EHR_TO_EDC,3257,245,success,0,10
T-00095,2026-06-06T13:00:00+00:00,SITE-02,EHR_TO_EDC,1781,102,success,0,3
T-00096,2026-06-06T18:00:00+00:00,SITE-02,EHR_TO_EDC,4330,202,success,0,10
T-00097,2026-06-06T08:00:00+00:00,SITE-03,EHR_TO_EDC,3999,273,success,0,6
T-00098,2026-06-06T13:00:00+00:00,SITE-03,EHR_TO_EDC,3548,207,success,0,5
T-00099,2026-06-06T18:00:00+00:00,SITE-03,EHR_TO_EDC,1487,147,success,0,5
T-00100,2026-06-06T08:00:00+00:00,SITE-04,EHR_TO_EDC,1353,77,success,0,15
T-00101,2026-06-06T13:00:00+00:00,SITE-04,EHR_TO_EDC,3997,254,success,0,9
T-00102,2026-06-06T18:00:00+00:00,SITE-04,EHR_TO_EDC,2213,135,success,0,9
T-00103,2026-06-06T08:00:00+00:00,SITE-05,EHR_TO_EDC,2202,177,success,0,15
T-00104,2026-06-06T13:00:00+00:00,SITE-05,EHR_TO_EDC,1670,134,success,0,7
T-00105,2026-06-06T18:00:00+00:00,SITE-05,EHR_TO_EDC,2183,122,success,0,5
T-00106,2026-06-06T08:00:00+00:00,SITE-06,EHR_TO_EDC,4457,272,success,0,4
T-00107,2026-06-06T13:00:00+00:00,SITE-06,EHR_TO_EDC,4294,206,success,0,2
T-00108,2026-06-06T18:00:00+00:00,SITE-06,EHR_TO_EDC,4049,197,success,0,9
T-00109,2026-06-07T08:00:00+00:00,SITE-01,EHR_TO_EDC,1161,132,success,0,14
T-00110,2026-06-07T13:00:00+00:00,SITE-01,EHR_TO_EDC,2798,213,success,0,15
T-00111,2026-06-07T18:00:00+00:00,SITE-01,EHR_TO_EDC,865,30,success,0,13
T-00112,2026-06-07T08:00:00+00:00,SITE-02,EHR_TO_EDC,4262,257,success,0,1
T-00113,2026-06-07T13:00:00+00:00,SITE-02,EHR_TO_EDC,2111,109,success,0,12
T-00114,2026-06-07T18:00:00+00:00,SITE-02,EHR_TO_EDC,2778,208,success,0,12
T-00115,2026-06-07T08:00:00+00:00,SITE-03,EHR_TO_EDC,1736,147,success,0,8
T-00116,2026-06-07T13:00:00+00:00,SITE-03,EHR_TO_EDC,2206,173,success,0,10
T-00117,2026-06-07T18:00:00+00:00,SITE-03,EHR_TO_EDC,1451,82,success,0,6
T-00118,2026-06-07T08:00:00+00:00,SITE-04,EHR_TO_EDC,4151,262,success,0,4
T-00119,2026-06-07T13:00:00+00:00,SITE-04,EHR_TO_EDC,3024,181,success,0,4
T-00120,2026-06-07T18:00:00+00:00,SITE-04,EHR_TO_EDC,3251,234,success,0,8
T-00121,2026-06-07T08:00:00+00:00,SITE-05,EHR_TO_EDC,3981,201,success,0,4
T-00122,2026-06-07T13:00:00+00:00,SITE-05,EHR_TO_EDC,1522,92,success,0,9
T-00123,2026-06-07T18:00:00+00:00,SITE-05,EHR_TO_EDC,1646,134,success,0,5
T-00124,2026-06-07T08:00:00+00:00,SITE-06,EHR_TO_EDC,756,62,success,0,4
T-00125,2026-06-07T13:00:00+00:00,SITE-06,EHR_TO_EDC,1797,147,success,0,8
T-00126,2026-06-07T18:00:00+00:00,SITE-06,EHR_TO_EDC,2417,126,success,0,12
T-00127,2026-06-08T08:00:00+00:00,SITE-01,EHR_TO_EDC,2283,205,success,0,4
T-00128,2026-06-08T13:00:00+00:00,SITE-01,EHR_TO_EDC,899,30,success,0,3
T-00129,2026-06-08T18:00:00+00:00,SITE-01,EHR_TO_EDC,4266,202,success,0,6
T-00130,2026-06-08T08:00:00+00:00,SITE-02,EHR_TO_EDC,1871,108,success,0,3
T-00131,2026-06-08T13:00:00+00:00,SITE-02,EHR_TO_EDC,2357,132,success,0,0
T-00132,2026-06-08T18:00:00+00:00,SITE-02,EHR_TO_EDC,4111,257,success,0,15
T-00133,2026-06-08T08:00:00+00:00,SITE-03,EHR_TO_EDC,1401,84,success,0,2
T-00134,2026-06-08T13:00:00+00:00,SITE-03,EHR_TO_EDC,1966,125,success,0,9
T-00135,2026-06-08T18:00:00+00:00,SITE-03,EHR_TO_EDC,1616,99,success,0,13
T-00136,2026-06-08T08:00:00+00:00,SITE-04,EHR_TO_EDC,3834,191,success,0,12
T-00137,2026-06-08T13:00:00+00:00,SITE-04,EHR_TO_EDC,3464,240,success,0,6
T-00138,2026-06-08T18:00:00+00:00,SITE-04,EHR_TO_EDC,2936,159,success,0,4
T-00139,2026-06-08T08:00:00+00:00,SITE-05,EHR_TO_EDC,2511,121,success,0,3
T-00140,2026-06-08T13:00:00+00:00,SITE-05,EHR_TO_EDC,2978,244,success,0,8
T-00141,2026-06-08T18:00:00+00:00,SITE-05,EHR_TO_EDC,4306,261,success,0,13
T-00142,2026-06-08T08:00:00+00:00,SITE-06,EHR_TO_EDC,1193,45,success,0,10
T-00143,2026-06-08T13:00:00+00:00,SITE-06,EHR_TO_EDC,4322,202,success,0,8
T-00144,2026-06-08T18:00:00+00:00,SITE-06,EHR_TO_EDC,3018,199,success,0,4
T-00145,2026-06-09T08:00:00+00:00,SITE-01,EHR_TO_EDC,1821,141,success,0,12
T-00146,2026-06-09T13:00:00+00:00,SITE-01,EHR_TO_EDC,1822,102,success,0,7
T-00147,2026-06-09T18:00:00+00:00,SITE-01,EHR_TO_EDC,1031,78,success,0,6
T-00148,2026-06-09T08:00:00+00:00,SITE-02,EHR_TO_EDC,2198,152,success,0,8
T-00149,2026-06-09T13:00:00+00:00,SITE-02,EHR_TO_EDC,2989,132,success,0,4
T-00150,2026-06-09T18:00:00+00:00,SITE-02,EHR_TO_EDC,963,30,success,0,9
T-00151,2026-06-09T08:00:00+00:00,SITE-03,EHR_TO_EDC,3445,161,success,0,0
T-00152,2026-06-09T13:00:00+00:00,SITE-03,EHR_TO_EDC,1447,83,success,0,15
T-00153,2026-06-09T18:00:00+00:00,SITE-03,EHR_TO_EDC,1272,130,success,0,6
T-00154,2026-06-09T08:00:00+00:00,SITE-04,EHR_TO_EDC,4252,248,success,0,15
T-00155,2026-06-09T13:00:00+00:00,SITE-04,EHR_TO_EDC,831,59,success,0,11
T-00156,2026-06-09T18:00:00+00:00,SITE-04,EHR_TO_EDC,4005,253,success,0,12
T-00157,2026-06-09T08:00:00+00:00,SITE-05,EHR_TO_EDC,2982,132,success,0,6
T-00158,2026-06-09T13:00:00+00:00,SITE-05,EHR_TO_EDC,2955,202,success,0,8
T-00159,2026-06-09T18:00:00+00:00,SITE-05,EHR_TO_EDC,1835,85,success,0,9
T-00160,2026-06-09T08:00:00+00:00,SITE-06,EHR_TO_EDC,4241,226,success,0,14
T-00161,2026-06-09T13:00:00+00:00,SITE-06,EHR_TO_EDC,3039,234,success,0,1
T-00162,2026-06-09T18:00:00+00:00,SITE-06,EHR_TO_EDC,1420,147,success,0,0
T-00163,2026-06-10T08:00:00+00:00,SITE-01,EHR_TO_EDC,1391,105,success,0,3
T-00164,2026-06-10T13:00:00+00:00,SITE-01,EHR_TO_EDC,3464,161,success,0,8
T-00165,2026-06-10T18:00:00+00:00,SITE-01,EHR_TO_EDC,2170,83,success,0,9
T-00166,2026-06-10T08:00:00+00:00,SITE-02,EHR_TO_EDC,957,78,success,0,14
T-00167,2026-06-10T13:00:00+00:00,SITE-02,EHR_TO_EDC,742,114,success,0,6
T-00168,2026-06-10T18:00:00+00:00,SITE-02,EHR_TO_EDC,960,59,success,0,0
T-00169,2026-06-10T08:00:00+00:00,SITE-03,EHR_TO_EDC,3841,240,success,0,8
T-00170,2026-06-10T13:00:00+00:00,SITE-03,EHR_TO_EDC,4018,214,success,0,15
T-00171,2026-06-10T18:00:00+00:00,SITE-03,EHR_TO_EDC,2335,128,success,0,3
T-00172,2026-06-10T08:00:00+00:00,SITE-04,EHR_TO_EDC,2674,159,success,0,13
T-00173,2026-06-10T13:00:00+00:00,SITE-04,EHR_TO_EDC,1726,170,success,0,0
T-00174,2026-06-10T18:00:00+00:00,SITE-04,EHR_TO_EDC,738,74,success,0,4
T-00175,2026-06-10T08:00:00+00:00,SITE-05,EHR_TO_EDC,1630,91,success,0,12
T-00176,2026-06-10T13:00:00+00:00,SITE-05,EHR_TO_EDC,3666,210,success,0,8
T-00177,2026-06-10T18:00:00+00:00,SITE-05,EHR_TO_EDC,4020,229,success,0,14
T-00178,2026-06-10T08:00:00+00:00,SITE-06,EHR_TO_EDC,2150,118,success,0,8
T-00179,2026-06-10T13:00:00+00:00,SITE-06,EHR_TO_EDC,973,129,success,0,10
T-00180,2026-06-10T18:00:00+00:00,SITE-06,EHR_TO_EDC,3133,146,success,0,8
T-00181,2026-06-11T08:00:00+00:00,SITE-01,EHR_TO_EDC,2071,102,success,0,5
T-00182,2026-06-11T13:00:00+00:00,SITE-01,EHR_TO_EDC,1565,52,success,0,4
T-00183,2026-06-11T18:00:00+00:00,SITE-01,EHR_TO_EDC,2937,161,success,0,6
T-00184,2026-06-11T08:00:00+00:00,SITE-02,EHR_TO_EDC,1426,83,success,0,3
T-00185,2026-06-11T13:00:00+00:00,SITE-02,EHR_TO_EDC,1337,52,success,0,11
T-00186,2026-06-11T18:00:00+00:00,SITE-02,EHR_TO_EDC,2134,101,success,0,13
T-00187,2026-06-11T08:00:00+00:00,SITE-03,EHR_TO_EDC,790,30,success,0,12
T-00188,2026-06-11T13:00:00+00:00,SITE-03,EHR_TO_EDC,2758,119,success,0,12
T-00189,2026-06-11T18:00:00+00:00,SITE-03,EHR_TO_EDC,1088,61,success,0,6
T-00190,2026-06-11T08:00:00+00:00,SITE-04,EHR_TO_EDC,785,115,success,0,5
T-00191,2026-06-11T13:00:00+00:00,SITE-04,EHR_TO_EDC,2014,79,success,0,3
T-00192,2026-06-11T18:00:00+00:00,SITE-04,EHR_TO_EDC,3070,171,success,0,13
T-00193,2026-06-11T08:00:00+00:00,SITE-05,EHR_TO_EDC,2638,226,success,0,7
T-00194,2026-06-11T13:00:00+00:00,SITE-05,EHR_TO_EDC,2745,164,success,0,5
T-00195,2026-06-11T18:00:00+00:00,SITE-05,EHR_TO_EDC,4028,217,success,0,2
T-00196,2026-06-11T08:00:00+00:00,SITE-06,EHR_TO_EDC,3473,201,success,0,10
T-00197,2026-06-11T13:00:00+00:00,SITE-06,EHR_TO_EDC,4310,222,success,0,11
T-00198,2026-06-11T18:00:00+00:00,SITE-06,EHR_TO_EDC,2850,119,success,0,4
T-00199,2026-06-12T08:00:00+00:00,SITE-01,EHR_TO_EDC,3690,246,success,0,12
T-00200,2026-06-12T13:00:00+00:00,SITE-01,EHR_TO_EDC,4431,288,success,0,1
T-00201,2026-06-12T18:00:00+00:00,SITE-01,EHR_TO_EDC,1569,125,success,0,11
T-00202,2026-06-12T08:00:00+00:00,SITE-02,EHR_TO_EDC,4335,256,success,0,13
T-00203,2026-06-12T13:00:00+00:00,SITE-02,EHR_TO_EDC,2767,185,success,0,3
T-00204,2026-06-12T18:00:00+00:00,SITE-02,EHR_TO_EDC,1197,133,success,0,14
T-00205,2026-06-12T08:00:00+00:00,SITE-03,EHR_TO_EDC,2486,183,success,0,14
T-00206,2026-06-12T13:00:00+00:00,SITE-03,EHR_TO_EDC,2417,201,success,0,12
T-00207,2026-06-12T18:00:00+00:00,SITE-03,EHR_TO_EDC,2754,142,success,0,12
T-00208,2026-06-12T08:00:00+00:00,SITE-04,EHR_TO_EDC,3160,204,success,0,1
T-00209,2026-06-12T13:00:00+00:00,SITE-04,EHR_TO_EDC,2810,233,success,0,1
T-00210,2026-06-12T18:00:00+00:00,SITE-04,EHR_TO_EDC,2863,199,success,0,14
T-00211,2026-06-12T08:00:00+00:00,SITE-05,EHR_TO_EDC,2530,136,success,0,1
T-00212,2026-06-12T13:00:00+00:00,SITE-05,EHR_TO_EDC,3135,140,success,0,10
T-00213,2026-06-12T18:00:00+00:00,SITE-05,EHR_TO_EDC,1322,101,success,0,14
T-00214,2026-06-12T08:00:00+00:00,SITE-06,EHR_TO_EDC,2044,105,success,0,10
T-00215,2026-06-12T13:00:00+00:00,SITE-06,EHR_TO_EDC,1471,135,success,0,15
T-00216,2026-06-12T18:00:00+00:00,SITE-06,EHR_TO_EDC,2959,175,success,0,1
T-00217,2026-06-13T08:00:00+00:00,SITE-01,EHR_TO_EDC,4253,212,success,0,15
T-00218,2026-06-13T13:00:00+00:00,SITE-01,EHR_TO_EDC,1154,53,success,0,5
T-00219,2026-06-13T18:00:00+00:00,SITE-01,EHR_TO_EDC,4141,308,success,0,4
T-00220,2026-06-13T08:00:00+00:00,SITE-02,EHR_TO_EDC,4096,201,success,0,3
T-00221,2026-06-13T13:00:00+00:00,SITE-02,EHR_TO_EDC,2795,147,success,0,8
T-00222,2026-06-13T18:00:00+00:00,SITE-02,EHR_TO_EDC,965,36,success,0,1
T-00223,2026-06-13T08:00:00+00:00,SITE-03,EHR_TO_EDC,3614,203,success,0,8
T-00224,2026-06-13T13:00:00+00:00,SITE-03,EHR_TO_EDC,2820,219,success,0,11
T-00225,2026-06-13T18:00:00+00:00,SITE-03,EHR_TO_EDC,2559,128,success,0,0
T-00226,2026-06-13T08:00:00+00:00,SITE-04,EHR_TO_EDC,4245,249,success,0,6
T-00227,2026-06-13T13:00:00+00:00,SITE-04,EHR_TO_EDC,2703,145,success,0,7
T-00228,2026-06-13T18:00:00+00:00,SITE-04,EHR_TO_EDC,1001,30,success,0,14
T-00229,2026-06-13T08:00:00+00:00,SITE-05,EHR_TO_EDC,3924,274,success,0,15
T-00230,2026-06-13T13:00:00+00:00,SITE-05,EHR_TO_EDC,4291,228,success,0,2
T-00231,2026-06-13T18:00:00+00:00,SITE-05,EHR_TO_EDC,3976,243,success,0,1
T-00232,2026-06-13T08:00:00+00:00,SITE-06,EHR_TO_EDC,3857,285,success,0,2
T-00233,2026-06-13T13:00:00+00:00,SITE-06,EHR_TO_EDC,3963,300,success,0,4
T-00234,2026-06-13T18:00:00+00:00,SITE-06,EHR_TO_EDC,4024,229,success,0,5
T-00235,2026-06-14T08:00:00+00:00,SITE-01,EHR_TO_EDC,1110,63,success,0,1
T-00236,2026-06-14T13:00:00+00:00,SITE-01,EHR_TO_EDC,2116,187,success,0,7
T-00237,2026-06-14T18:00:00+00:00,SITE-01,EHR_TO_EDC,4115,224,success,0,3
T-00238,2026-06-14T08:00:00+00:00,SITE-02,EHR_TO_EDC,2404,116,success,0,12
T-00239,2026-06-14T13:00:00+00:00,SITE-02,EHR_TO_EDC,827,113,success,0,14
T-00240,2026-06-14T18:00:00+00:00,SITE-02,EHR_TO_EDC,4393,266,success,0,2
T-00241,2026-06-14T08:00:00+00:00,SITE-03,EHR_TO_EDC,1061,101,success,0,6
T-00242,2026-06-14T13:00:00+00:00,SITE-03,EHR_TO_EDC,2880,200,success,0,10
T-00243,2026-06-14T18:00:00+00:00,SITE-03,EHR_TO_EDC,4290,291,success,0,6
T-00244,2026-06-14T08:00:00+00:00,SITE-04,EHR_TO_EDC,2993,211,success,0,13
T-00245,2026-06-14T13:00:00+00:00,SITE-04,EHR_TO_EDC,2249,85,success,0,10
T-00246,2026-06-14T18:00:00+00:00,SITE-04,EHR_TO_EDC,3566,198,success,0,8
T-00247,2026-06-14T08:00:00+00:00,SITE-05,EHR_TO_EDC,3396,225,success,0,6
T-00248,2026-06-14T13:00:00+00:00,SITE-05,EHR_TO_EDC,3546,183,success,0,5
T-00249,2026-06-14T18:00:00+00:00,SITE-05,EHR_TO_EDC,3839,189,success,0,5
T-00250,2026-06-14T08:00:00+00:00,SITE-06,EHR_TO_EDC,3541,230,success,0,14
T-00251,2026-06-14T13:00:00+00:00,SITE-06,EHR_TO_EDC,869,30,success,0,8
T-00252,2026-06-14T18:00:00+00:00,SITE-06,EHR_TO_EDC,1175,58,success,0,11
T-00253,2026-06-15T08:00:00+00:00,SITE-01,EHR_TO_EDC,3198,216,success,0,11
T-00254,2026-06-15T13:00:00+00:00,SITE-01,EHR_TO_EDC,1958,93,success,0,0
T-00255,2026-06-15T18:00:00+00:00,SITE-01,EHR_TO_EDC,982,102,success,0,6
T-00256,2026-06-15T08:00:00+00:00,SITE-02,EHR_TO_EDC,3715,257,success,0,11
T-00257,2026-06-15T13:00:00+00:00,SITE-02,EHR_TO_EDC,4265,235,success,0,13
T-00258,2026-06-15T18:00:00+00:00,SITE-02,EHR_TO_EDC,1519,62,success,0,2
T-00259,2026-06-15T08:00:00+00:00,SITE-03,EHR_TO_EDC,3285,176,success,0,13
T-00260,2026-06-15T13:00:00+00:00,SITE-03,EHR_TO_EDC,2234,188,success,0,13
T-00261,2026-06-15T18:00:00+00:00,SITE-03,EHR_TO_EDC,1843,120,success,0,4
T-00262,2026-06-15T08:00:00+00:00,SITE-04,EHR_TO_EDC,2774,129,success,0,3
T-00263,2026-06-15T13:00:00+00:00,SITE-04,EHR_TO_EDC,2118,142,success,0,13
T-00264,2026-06-15T18:00:00+00:00,SITE-04,EHR_TO_EDC,1662,115,success,0,3
T-00265,2026-06-15T08:00:00+00:00,SITE-05,EHR_TO_EDC,1866,78,success,0,9
T-00266,2026-06-15T13:00:00+00:00,SITE-05,EHR_TO_EDC,4199,203,success,0,14
T-00267,2026-06-15T18:00:00+00:00,SITE-05,EHR_TO_EDC,1624,169,success,0,15
T-00268,2026-06-15T08:00:00+00:00,SITE-06,EHR_TO_EDC,2287,112,success,0,13
T-00269,2026-06-15T13:00:00+00:00,SITE-06,EHR_TO_EDC,3162,163,success,0,14
T-00270,2026-06-15T18:00:00+00:00,SITE-06,EHR_TO_EDC,3320,152,success,0,11
T-00271,2026-06-16T08:00:00+00:00,SITE-01,EHR_TO_EDC,2416,136,success,0,9
T-00272,2026-06-16T13:00:00+00:00,SITE-01,EHR_TO_EDC,3093,187,success,0,8
T-00273,2026-06-16T18:00:00+00:00,SITE-01,EHR_TO_EDC,1899,149,success,0,0
T-00274,2026-06-16T08:00:00+00:00,SITE-02,EHR_TO_EDC,3452,229,success,0,7
T-00275,2026-06-16T13:00:00+00:00,SITE-02,EHR_TO_EDC,761,54,success,0,11
T-00276,2026-06-16T18:00:00+00:00,SITE-02,EHR_TO_EDC,1241,103,success,0,8
T-00277,2026-06-16T08:00:00+00:00,SITE-03,EHR_TO_EDC,2289,140,success,0,8
T-00278,2026-06-16T13:00:00+00:00,SITE-03,EHR_TO_EDC,2099,89,success,0,3
