event_date,site_id,workflow,records_received,records_delivered,records_valid,p95_latency_seconds,bytes_per_record
2026-06-09,SITE-01,EHR_TO_EDC,15814,15628,15340,288,1079
2026-06-09,SITE-02,EHR_TO_EDC,13183,13052,12853,264,930
2026-06-09,SITE-03,EHR_TO_EDC,9972,9849,9693,368,1064
2026-06-09,SITE-04,EHR_TO_EDC,7162,7077,6959,381,988
2026-06-09,SITE-05,EHR_TO_EDC,4584,4525,4430,371,1034
2026-06-09,SITE-06,EHR_TO_EDC,2922,2887,2827,447,970
2026-06-10,SITE-01,EHR_TO_EDC,16029,15821,15592,257,1040
2026-06-10,SITE-02,EHR_TO_EDC,13934,13762,13558,282,1008
2026-06-10,SITE-03,EHR_TO_EDC,10101,9977,9807,361,960
2026-06-10,SITE-04,EHR_TO_EDC,8384,8274,8160,358,1019
2026-06-10,SITE-05,EHR_TO_EDC,4674,4623,4539,390,921
2026-06-10,SITE-06,EHR_TO_EDC,3647,3605,3535,464,1007
2026-06-11,SITE-01,EHR_TO_EDC,17359,17186,16948,251,951
2026-06-11,SITE-02,EHR_TO_EDC,13775,13644,13359,309,1057
2026-06-11,SITE-03,EHR_TO_EDC,9966,9870,9714,297,929
2026-06-11,SITE-04,EHR_TO_EDC,8764,8675,8508,383,927
2026-06-11,SITE-05,EHR_TO_EDC,4951,4887,4806,373,964
2026-06-11,SITE-06,EHR_TO_EDC,4057,4016,3948,417,1052
2026-06-12,SITE-01,EHR_TO_EDC,18456,18232,17910,288,942
2026-06-12,SITE-02,EHR_TO_EDC,14406,14252,14033,331,1063
2026-06-12,SITE-03,EHR_TO_EDC,11079,10979,10762,360,985
2026-06-12,SITE-04,EHR_TO_EDC,8796,8690,8555,356,1059
2026-06-12,SITE-05,EHR_TO_EDC,5849,5792,5707,428,949
2026-06-12,SITE-06,EHR_TO_EDC,4079,4046,3992,448,1052
2026-06-13,SITE-01,EHR_TO_EDC,18491,18282,18026,297,962
2026-06-13,SITE-02,EHR_TO_EDC,14656,14456,14220,318,1023
2026-06-13,SITE-03,EHR_TO_EDC,10706,10604,10455,358,1041
2026-06-13,SITE-04,EHR_TO_EDC,9558,9463,9308,354,986
2026-06-13,SITE-05,EHR_TO_EDC,5200,5136,5067,367,978
2026-06-13,SITE-06,EHR_TO_EDC,3243,3203,3142,441,1078
2026-06-14,SITE-01,EHR_TO_EDC,19426,19258,18988,299,1079
2026-06-14,SITE-02,EHR_TO_EDC,15495,15304,14997,327,1016
2026-06-14,SITE-03,EHR_TO_EDC,11864,11739,11528,362,972
2026-06-14,SITE-04,EHR_TO_EDC,10220,10105,9930,357,1058
2026-06-14,SITE-05,EHR_TO_EDC,6470,6395,6299,382,1080
2026-06-14,SITE-06,EHR_TO_EDC,4157,4101,4027,440,969
2026-06-15,SITE-01,EHR_TO_EDC,14723,14536,14243,249,981
2026-06-15,SITE-02,EHR_TO_EDC,11946,11798,11608,293,1027
2026-06-15,SITE-03,EHR_TO_EDC,9292,9173,9039,311,924
2026-06-15,SITE-04,EHR_TO_EDC,7022,6957,6815,375,949
2026-06-15,SITE-05,EHR_TO_EDC,4998,4938,4853,408,968
2026-06-15,SITE-06,EHR_TO_EDC,2682,2652,2616,403,1077
2026-06-16,SITE-01,EHR_TO_EDC,16017,15801,15577,286,949
2026-06-16,SITE-02,EHR_TO_EDC,12715,12600,12336,280,944
2026-06-16,SITE-03,EHR_TO_EDC,9699,9617,9486,354,1003
2026-06-16,SITE-04,EHR_TO_EDC,7946,7860,7735,395,1073
2026-06-16,SITE-05,EHR_TO_EDC,4871,4831,4735,370,1024
2026-06-16,SITE-06,EHR_TO_EDC,3565,3528,3470,447,1074
2026-06-17,SITE-01,EHR_TO_EDC,15968,15831,15584,226,1023
2026-06-17,SITE-02,EHR_TO_EDC,8108,7730,7593,744,986
2026-06-17,SITE-03,EHR_TO_EDC,9523,9394,9210,315,954
2026-06-17,SITE-04,EHR_TO_EDC,8232,8122,7966,377,966
2026-06-17,SITE-05,EHR_TO_EDC,5165,5117,5047,388,997
2026-06-17,SITE-06,EHR_TO_EDC,3831,3798,3718,445,1079
2026-06-18,SITE-01,EHR_TO_EDC,16485,16330,16073,263,1023
2026-06-18,SITE-02,EHR_TO_EDC,8453,8080,7949,689,974
2026-06-18,SITE-03,EHR_TO_EDC,9622,9501,9375,368,947
2026-06-18,SITE-04,EHR_TO_EDC,8382,8302,8160,381,970
2026-06-18,SITE-05,EHR_TO_EDC,5862,5801,5713,377,1007
2026-06-18,SITE-06,EHR_TO_EDC,4098,4051,3966,453,945
2026-06-19,SITE-01,EHR_TO_EDC,18371,18175,17858,234,931
2026-06-19,SITE-02,EHR_TO_EDC,8518,8104,7973,700,1046
2026-06-19,SITE-03,EHR_TO_EDC,10872,10745,10568,302,1027
2026-06-19,SITE-04,EHR_TO_EDC,8758,8660,8522,369,1043
2026-06-19,SITE-05,EHR_TO_EDC,6144,6084,5972,401,995
2026-06-19,SITE-06,EHR_TO_EDC,3180,3154,3098,431,960
2026-06-20,SITE-01,EHR_TO_EDC,18537,18304,18058,274,1021
2026-06-20,SITE-02,EHR_TO_EDC,8537,8140,8029,720,977
2026-06-20,SITE-03,EHR_TO_EDC,11010,10874,10647,327,931
2026-06-20,SITE-04,EHR_TO_EDC,9655,9572,9436,389,982
2026-06-20,SITE-05,EHR_TO_EDC,6210,6133,6022,371,950
2026-06-20,SITE-06,EHR_TO_EDC,3620,3572,3510,445,1013
2026-06-21,SITE-01,EHR_TO_EDC,19279,19108,18789,278,1069
2026-06-21,SITE-02,EHR_TO_EDC,16393,16220,15903,327,994
2026-06-21,SITE-03,EHR_TO_EDC,10802,10700,10517,309,1049
2026-06-21,SITE-04,EHR_TO_EDC,10186,10052,9899,365,1064
2026-06-21,SITE-05,EHR_TO_EDC,6359,6300,6180,400,983
2026-06-21,SITE-06,EHR_TO_EDC,4365,4304,4217,425,1080
2026-06-22,SITE-01,EHR_TO_EDC,14463,14346,14110,258,929
2026-06-22,SITE-02,EHR_TO_EDC,11840,11729,11569,295,961
2026-06-22,SITE-03,EHR_TO_EDC,9272,9184,9029,342,973
2026-06-22,SITE-04,EHR_TO_EDC,7481,7405,7259,347,950
2026-06-22,SITE-05,EHR_TO_EDC,4887,4824,4744,392,986
2026-06-22,SITE-06,EHR_TO_EDC,3373,3329,3281,447,1072
2026-06-23,SITE-01,EHR_TO_EDC,15653,15500,15245,248,1068
2026-06-23,SITE-02,EHR_TO_EDC,12388,12254,12087,301,1030
2026-06-23,SITE-03,EHR_TO_EDC,9754,9642,9493,354,922
2026-06-23,SITE-04,EHR_TO_EDC,7338,7265,7130,340,1003
2026-06-23,SITE-05,EHR_TO_EDC,4755,4691,4616,393,1003
2026-06-23,SITE-06,EHR_TO_EDC,3434,3387,3323,441,1072
2026-06-24,SITE-01,EHR_TO_EDC,16219,16046,15778,264,1022
2026-06-24,SITE-02,EHR_TO_EDC,13800,13669,13400,306,1013
2026-06-24,SITE-03,EHR_TO_EDC,10380,10272,10073,344,1064
2026-06-24,SITE-04,EHR_TO_EDC,8289,8183,8066,399,1064
2026-06-24,SITE-05,EHR_TO_EDC,4691,4648,4554,423,925
2026-06-24,SITE-06,EHR_TO_EDC,3246,3209,3163,469,925
2026-06-25,SITE-01,EHR_TO_EDC,17702,17470,17233,279,998
2026-06-25,SITE-02,EHR_TO_EDC,14430,14307,14089,270,1000
2026-06-25,SITE-03,EHR_TO_EDC,9577,9498,9367,313,1028
2026-06-25,SITE-04,EHR_TO_EDC,8368,8265,8106,392,1006
2026-06-25,SITE-05,EHR_TO_EDC,5482,5425,5319,408,954
2026-06-25,SITE-06,EHR_TO_EDC,4028,3983,3908,409,931
2026-06-26,SITE-01,EHR_TO_EDC,17923,17698,17347,269,1016
2026-06-26,SITE-02,EHR_TO_EDC,14109,13920,13667,329,1012
2026-06-26,SITE-03,EHR_TO_EDC,9837,9710,9512,348,957
2026-06-26,SITE-04,EHR_TO_EDC,8684,8575,8416,378,972
2026-06-26,SITE-05,EHR_TO_EDC,5618,5558,5473,402,935
2026-06-26,SITE-06,EHR_TO_EDC,4028,3988,3926,414,965
2026-06-27,SITE-01,EHR_TO_EDC,17903,17678,17365,227,929
2026-06-27,SITE-02,EHR_TO_EDC,15135,15004,14765,283,980
2026-06-27,SITE-03,EHR_TO_EDC,11351,11211,11045,360,991
2026-06-27,SITE-04,EHR_TO_EDC,9424,9338,9169,369,1060
2026-06-27,SITE-05,EHR_TO_EDC,6014,5935,5815,427,1007
2026-06-27,SITE-06,EHR_TO_EDC,4568,4516,4439,411,1022
2026-06-28,SITE-01,EHR_TO_EDC,18490,18317,17961,242,1055
2026-06-28,SITE-02,EHR_TO_EDC,16066,15862,15572,267,922
2026-06-28,SITE-03,EHR_TO_EDC,11558,11402,11181,352,1027
2026-06-28,SITE-04,EHR_TO_EDC,10102,9846,8967,383,957
2026-06-28,SITE-05,EHR_TO_EDC,5749,5671,5591,431,1078
2026-06-28,SITE-06,EHR_TO_EDC,3975,3930,3874,406,965
2026-06-29,SITE-01,EHR_TO_EDC,14272,14140,13863,244,1010
2026-06-29,SITE-02,EHR_TO_EDC,12233,12090,11923,327,1039
2026-06-29,SITE-03,EHR_TO_EDC,8333,8218,8075,370,997
2026-06-29,SITE-04,EHR_TO_EDC,6905,6734,6131,383,943
2026-06-29,SITE-05,EHR_TO_EDC,4840,4795,4716,434,960
2026-06-29,SITE-06,EHR_TO_EDC,3144,3112,3069,451,1039
2026-06-30,SITE-01,EHR_TO_EDC,16323,16122,15902,271,947
2026-06-30,SITE-02,EHR_TO_EDC,13647,13505,13248,319,951
2026-06-30,SITE-03,EHR_TO_EDC,9899,9793,9609,343,980
2026-06-30,SITE-04,EHR_TO_EDC,7830,7646,6925,388,972
2026-06-30,SITE-05,EHR_TO_EDC,5440,5391,5280,413,996
2026-06-30,SITE-06,EHR_TO_EDC,3334,3292,3231,471,968
2026-07-01,SITE-01,EHR_TO_EDC,16149,15983,15733,239,990
2026-07-01,SITE-02,EHR_TO_EDC,13940,13789,13560,302,943
2026-07-01,SITE-03,EHR_TO_EDC,9188,9106,8978,307,965
2026-07-01,SITE-04,EHR_TO_EDC,7903,7735,7002,334,943
2026-07-01,SITE-05,EHR_TO_EDC,4552,4509,4414,385,1024
2026-07-01,SITE-06,EHR_TO_EDC,2921,2891,2831,454,972
2026-07-02,SITE-01,EHR_TO_EDC,16720,16503,16224,274,1025
2026-07-02,SITE-02,EHR_TO_EDC,14615,14496,14236,311,982
2026-07-02,SITE-03,EHR_TO_EDC,10694,10545,10406,362,968
2026-07-02,SITE-04,EHR_TO_EDC,8548,8463,8345,386,972
2026-07-02,SITE-05,EHR_TO_EDC,5621,5564,5454,402,960
2026-07-02,SITE-06,EHR_TO_EDC,3464,3420,3360,438,1076
2026-07-03,SITE-01,EHR_TO_EDC,18123,17922,17586,298,1052
2026-07-03,SITE-02,EHR_TO_EDC,14288,14125,13870,263,941
2026-07-03,SITE-03,EHR_TO_EDC,10021,9926,9763,368,1004
2026-07-03,SITE-04,EHR_TO_EDC,8440,8325,8199,376,951
2026-07-03,SITE-05,EHR_TO_EDC,5706,5627,5543,382,1059
2026-07-03,SITE-06,EHR_TO_EDC,4183,4135,4050,471,1005
2026-07-04,SITE-01,EHR_TO_EDC,19005,18836,18547,225,1013
2026-07-04,SITE-02,EHR_TO_EDC,14936,14748,14458,306,1072
2026-07-04,SITE-03,EHR_TO_EDC,11245,11100,10952,353,955
2026-07-04,SITE-04,EHR_TO_EDC,9191,9075,8912,378,924
2026-07-04,SITE-05,EHR_TO_EDC,5307,5258,5188,424,1018
2026-07-04,SITE-06,EHR_TO_EDC,3446,3406,3352,422,987
2026-07-05,SITE-01,EHR_TO_EDC,18939,18722,18470,267,929
2026-07-05,SITE-02,EHR_TO_EDC,16430,16220,15884,311,946
2026-07-05,SITE-03,EHR_TO_EDC,11558,11441,11222,367,992
2026-07-05,SITE-04,EHR_TO_EDC,9923,9790,9597,389,1024
2026-07-05,SITE-05,EHR_TO_EDC,6079,6026,5904,1159,1004
2026-07-05,SITE-06,EHR_TO_EDC,4448,4398,4309,453,933
2026-07-06,SITE-01,EHR_TO_EDC,14942,14757,14478,280,1002
2026-07-06,SITE-02,EHR_TO_EDC,12352,12187,12004,268,1034
2026-07-06,SITE-03,EHR_TO_EDC,8656,8560,8382,345,946
2026-07-06,SITE-04,EHR_TO_EDC,7907,7800,7679,399,980
2026-07-06,SITE-05,EHR_TO_EDC,4069,4012,3932,1192,1064
2026-07-06,SITE-06,EHR_TO_EDC,2919,2891,2840,453,938
2026-07-07,SITE-01,EHR_TO_EDC,15209,15039,14828,241,1067
2026-07-07,SITE-02,EHR_TO_EDC,13111,13006,12761,291,1003
2026-07-07,SITE-03,EHR_TO_EDC,8902,8827,8654,352,956
2026-07-07,SITE-04,EHR_TO_EDC,7853,7757,7653,359,1036
2026-07-07,SITE-05,EHR_TO_EDC,4825,4777,4709,1208,1040
2026-07-07,SITE-06,EHR_TO_EDC,3141,3112,3066,407,1010
2026-07-08,SITE-01,EHR_TO_EDC,16667,16532,16290,296,980
2026-07-08,SITE-02,EHR_TO_EDC,13171,12990,12753,266,1000
2026-07-08,SITE-03,EHR_TO_EDC,9580,9453,9304,312,1033
2026-07-08,SITE-04,EHR_TO_EDC,8325,8254,8089,358,970
2026-07-08,SITE-05,EHR_TO_EDC,4879,4834,4751,395,989
2026-07-08,SITE-06,EHR_TO_EDC,3593,3546,3474,467,1052
2026-07-09,SITE-01,EHR_TO_EDC,16803,16570,16266,248,953
2026-07-09,SITE-02,EHR_TO_EDC,14666,14489,14186,319,1055
2026-07-09,SITE-03,EHR_TO_EDC,9526,9419,9296,300,992
2026-07-09,SITE-04,EHR_TO_EDC,8936,8851,8729,402,968
2026-07-09,SITE-05,EHR_TO_EDC,5104,5057,4990,435,958
2026-07-09,SITE-06,EHR_TO_EDC,3086,3049,2999,474,1047
2026-07-10,SITE-01,EHR_TO_EDC,17219,17062,16734,296,1012
2026-07-10,SITE-02,EHR_TO_EDC,14581,14406,14159,264,1053
2026-07-10,SITE-03,EHR_TO_EDC,10843,10744,10594,316,980
2026-07-10,SITE-04,EHR_TO_EDC,9609,9506,9322,362,980
2026-07-10,SITE-05,EHR_TO_EDC,5316,5257,5152,393,1047
2026-07-10,SITE-06,EHR_TO_EDC,3690,3659,3594,406,966
2026-07-11,SITE-01,EHR_TO_EDC,18428,18263,17936,227,1031
2026-07-11,SITE-02,EHR_TO_EDC,15454,15289,14985,293,938
2026-07-11,SITE-03,EHR_TO_EDC,10408,10268,10081,367,980
2026-07-11,SITE-04,EHR_TO_EDC,9845,9757,9596,369,1000
2026-07-11,SITE-05,EHR_TO_EDC,6251,6173,6054,398,942
2026-07-11,SITE-06,EHR_TO_EDC,4550,4491,4419,421,960
2026-07-12,SITE-01,EHR_TO_EDC,19409,19173,18914,283,1039
2026-07-12,SITE-02,EHR_TO_EDC,15822,15629,15409,265,1073
2026-07-12,SITE-03,EHR_TO_EDC,10780,10684,10500,353,920
2026-07-12,SITE-04,EHR_TO_EDC,9362,9264,9133,397,1062
2026-07-12,SITE-05,EHR_TO_EDC,5821,5757,5637,374,1076
2026-07-12,SITE-06,EHR_TO_EDC,3832,3794,3727,415,1027
