event_date,site_id,batches_total,batches_failed,batches_retried,max_retry_count,max_batch_duration_s
2026-06-27,SITE-06,3,0,0,0,259
2026-06-28,SITE-01,3,0,0,0,251
2026-06-28,SITE-02,3,0,0,0,168
2026-06-28,SITE-03,3,0,0,0,237
2026-06-28,SITE-04,3,0,0,0,301
2026-06-28,SITE-05,3,0,0,0,116
2026-06-28,SITE-06,3,0,0,0,169
2026-06-29,SITE-01,3,0,0,0,133
2026-06-29,SITE-02,3,0,0,0,307
2026-06-29,SITE-03,3,0,0,0,207
2026-06-29,SITE-04,3,0,0,0,248
2026-06-29,SITE-05,3,0,0,0,290
2026-06-29,SITE-06,3,0,0,0,155
2026-06-30,SITE-01,3,0,0,0,156
2026-06-30,SITE-02,3,0,0,0,246
2026-06-30,SITE-03,3,0,0,0,197
2026-06-30,SITE-04,3,0,0,0,221
2026-06-30,SITE-05,3,0,0,0,235
2026-06-30,SITE-06,3,0,0,0,274
2026-07-01,SITE-01,3,0,0,0,170
2026-07-01,SITE-02,3,0,0,0,194
2026-07-01,SITE-03,3,0,0,0,230
2026-07-01,SITE-04,3,0,0,0,207
2026-07-01,SITE-05,3,0,0,0,205
2026-07-01,SITE-06,3,0,0,0,186
2026-07-02,SITE-01,3,0,0,0,237
2026-07-02,SITE-02,3,0,0,0,140
2026-07-02,SITE-03,3,0,0,0,275
2026-07-02,SITE-04,3,0,0,0,221
2026-07-02,SITE-05,3,0,0,0,158
2026-07-02,SITE-06,3,0,0,0,255
2026-07-03,SITE-01,3,0,0,0,170
2026-07-03,SITE-02,3,0,0,0,262
2026-07-03,SITE-03,3,0,0,0,223
2026-07-03,SITE-04,3,0,0,0,262
2026-07-03,SITE-05,3,0,0,0,213
2026-07-03,SITE-06,3,0,0,0,180
2026-07-04,SITE-01,3,0,0,0,209
2026-07-04,SITE-02,3,0,0,0,203
2026-07-04,SITE-03,3,0,0,0,285
2026-07-04,SITE-04,3,0,0,0,108
2026-07-04,SITE-05,3,0,0,0,228
2026-07-04,SITE-06,3,0,0,0,238
2026-07-05,SITE-01,3,0,0,0,252
2026-07-05,SITE-02,3,0,0,0,158
2026-07-05,SITE-03,3,0,0,0,166
2026-07-05,SITE-04,3,0,0,0,316
2026-07-05,SITE-05,3,0,3,2,1112
2026-07-05,SITE-06,3,0,0,0,263
2026-07-06,SITE-01,3,0,0,0,110
2026-07-06,SITE-02,3,0,0,0,243
2026-07-06,SITE-03,3,0,0,0,290
2026-07-06,SITE-04,3,0,0,0,218
2026-07-06,SITE-05,3,0,3,2,1002
2026-07-06,SITE-06,3,0,0,0,238
2026-07-07,SITE-01,3,0,0,0,285
2026-07-07,SITE-02,3,0,0,0,196
2026-07-07,SITE-03,3,0,0,0,218
2026-07-07,SITE-04,3,0,0,0,175
2026-07-07,SITE-05,3,0,3,2,1059
2026-07-07,SITE-06,3,0,0,0,214
2026-07-08,SITE-01,3,0,0,0,142
2026-07-08,SITE-02,3,0,0,0,276
2026-07-08,SITE-03,3,0,0,0,308
2026-07-08,SITE-04,3,0,0,0,171
2026-07-08,SITE-05,3,0,0,0,134
2026-07-08,SITE-06,3,0,0,0,211
2026-07-09,SITE-01,3,0,0,0,199
2026-07-09,SITE-02,3,0,0,0,217
2026-07-09,SITE-03,3,0,0,0,244
2026-07-09,SITE-04,3,0,0,0,254
2026-07-09,SITE-05,3,0,0,0,295
2026-07-09,SITE-06,3,0,0,0,251
2026-07-10,SITE-01,3,0,0,0,214
2026-07-10,SITE-02,3,0,0,0,282
2026-07-10,SITE-03,3,0,0,0,306
2026-07-10,SITE-04,3,0,0,0,281
2026-07-10,SITE-05,3,0,0,0,280
2026-07-10,SITE-06,3,0,0,0,203
2026-07-11,SITE-01,3,0,0,0,169
2026-07-11,SITE-02,3,0,0,0,120
2026-07-11,SITE-03,3,0,0,0,168
2026-07-11,SITE-04,3,0,0,0,191
2026-07-11,SITE-05,3,0,0,0,247
2026-07-11,SITE-06,3,0,0,0,161
2026-07-12,SITE-01,3,0,0,0,247
2026-07-12,SITE-02,3,0,0,0,314
2026-07-12,SITE-03,3,0,0,0,273
2026-07-12,SITE-04,3,0,0,0,187
2026-07-12,SITE-05,3,0,0,0,214
2026-07-12,SITE-06,3,0,0,0,242
